experiment_order,experiment_id,condition,threshold_label,upper_path,lower_path,model,mock_codex,questions_total,valid_predictions,failed_predictions,brier,community_brier_on_valid_rows,mean_llm_prob,mean_threshold_calls,predictions_path,run_dir,timestamp
1,exp_01_50,50 only,50,[50.0],[50.0],gpt-5.4,False,20,17,3,0.1552,0.1472058823529412,0.3576470588235295,1.0,/Users/kenneth.cao/Desktop/Stat 390/AutoResearch_Prediction_Optimization/experiments/outputs/experiment_1.csv,/Users/kenneth.cao/Desktop/Stat 390/AutoResearch_Prediction_Optimization/experiments/outputs/runs/exp_01_50,2026-05-04T02:59:05.473713
2,exp_02_25_75,50 plus 25/75 buckets,"50, 25/75","[50.0, 75.0]","[50.0, 25.0]",gpt-5.4,False,20,15,5,0.1382,0.1655,0.29600000000000004,2.0,/Users/kenneth.cao/Desktop/Stat 390/AutoResearch_Prediction_Optimization/experiments/outputs/experiment_2.csv,/Users/kenneth.cao/Desktop/Stat 390/AutoResearch_Prediction_Optimization/experiments/outputs/runs/exp_02_25_75,2026-05-04T04:11:23.645618
3,exp_03_10_90,50 plus 25/75 and 10/90 buckets,"50, 25/75, 10/90","[50.0, 75.0, 90.0]","[50.0, 25.0, 10.0]",gpt-5.4,False,20,15,5,0.17094666666666664,0.16187333333333334,0.22,2.6666666666666665,/Users/kenneth.cao/Desktop/Stat 390/AutoResearch_Prediction_Optimization/experiments/outputs/experiment_3.csv,/Users/kenneth.cao/Desktop/Stat 390/AutoResearch_Prediction_Optimization/experiments/outputs/runs/exp_03_10_90,2026-05-04T05:39:34.048638
4,exp_04_5_95,"50 plus 25/75, 10/90, and 5/95 buckets","50, 25/75, 10/90, 5/95","[50.0, 75.0, 90.0, 95.0]","[50.0, 25.0, 10.0, 5.0]",gpt-5.4,False,20,15,5,0.13584666666666664,0.1617333333333333,0.22333333333333327,3.2,/Users/kenneth.cao/Desktop/Stat 390/AutoResearch_Prediction_Optimization/experiments/outputs/experiment_4.csv,/Users/kenneth.cao/Desktop/Stat 390/AutoResearch_Prediction_Optimization/experiments/outputs/runs/exp_04_5_95,2026-05-04T07:12:06.523903
5,exp_05_1_99,"50 plus 25/75, 10/90, 5/95, and 1/99 buckets","50, 25/75, 10/90, 5/95, 1/99","[50.0, 75.0, 90.0, 95.0, 99.0]","[50.0, 25.0, 10.0, 5.0, 1.0]",gpt-5.4,False,20,17,3,0.14589442647058823,0.14958235294117644,0.3126176470588235,3.588235294117647,/Users/kenneth.cao/Desktop/Stat 390/AutoResearch_Prediction_Optimization/experiments/outputs/experiment_5.csv,/Users/kenneth.cao/Desktop/Stat 390/AutoResearch_Prediction_Optimization/experiments/outputs/runs/exp_05_1_99,2026-05-04T09:05:48.913754
